,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Growexx
4.3",Data Scientist,Remote,"Growexx is looking for a smart and passionate Data Scientist/Analyst, who will empower Marketing, Product, and Sales teams to make strategic, data-driven decisions.
Key Responsibilities
Mine, process, and analyze hit/event level web, product, sales, and digital marketing data
Develop predictive scoring models and apply machine learning algorithms to customer profiles, journeys, and usage data
Deploy ML models into production data sets that can be leveraged for testing/activation on our websites, product applications, and sales/marketing channels
Develop ML model activation testing plans, benchmarking, and measure final outcomes.
Enhance/Build data visualizations and reports in Tableau
Work with data engineers to improve and maintain the customer360 data model by defining new feature requirements, making improvements to taxonomy, and identifying bug fixes
Work with cross-functional teams (BI Enterprise Data Warehouse, Salesforce MOPS, IT, Product teams) to improve data quality in the customer360 data model
Develop a good understanding of the business’s model, objectives, issues, and challenges by interacting and collaborating with leaders and stakeholders
Document all model methodology, outcomes, and activated performance
Key Skills
Experience using Python, SciKit, SQL, Snowflake, hit-level Adobe Analytics data, product usage data, Jupyter Notebooks, Amazon SageMaker, Airflow, Github
Proficiency with data mining, mathematics, and statistical analysis techniques
Experience with predictive modeling techniques, unsupervised, supervised, reinforcement, causal inference machine learning techniques
Experience with the following ML steps: data prep, choosing a model, feature creation and selection, training, evaluation, parameter tuning, making predictions
Experience with cookie-level advertising platform data (Google, Bing, Epsilon, LinkedIn, Facebook, etc.) and measuring demand generation KPIs (ROAS, CTRs, Impressions, MTA Attribution)
Experience with cookie-level web/product data and KPIs like usage, conversion funnels, bounce rates, unique visitors, sessions, hits/events, pathing, and journey optimization
Experience with designing A/B/Multivariate/Lift testing and measurement for activated ML models in both digital and offline demand generation channels
Experience gathering and refining requirements from business stakeholders
Experience communicating ML methodology and findings to both technical and non-technical audiences
Preferred: experience in an engineering role building, testing, deploying, and measuring ML models using an ensemble approach
Education and Experience
B Tech or B. E. (Computer Science / Information Technology)
5 + years as a Data Scientist or similar roles
Analytical and Personal skills
Must have sound logical reasoning and analytical skills
Good communication skills in English – both written and verbal
Demonstrate Ownership and Accountability of their work
Attention to details
Show Less
Report","Size
51 to 200 Employees
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable
1,"Locuz Enterprise Solutions
3.7",Data Science,India,"We are looking for a ML engineer who will work on a broad range of cutting-edge data analytics and machine learning problems across a variety of industries. As an ML engineer, you will
Engage with clients to understand their business context
Translate business problems into analytical structures and solve using statistical/ML techniques
Collaborate with a team of data scientists and engineers to embed AI and analytics into the business decision processes
Desired Skills, Competencies & Experience:
3+ years of relevant AI/ML experience
Hands on experience on AWS Sagemaker, AWS Rekognition, Textract and Amazon Forecast
Experience in Developing and enhancing algorithms and models to solve business problem
Maintaining all models along with development and updating of code and process documentation
Designing data science solution approaches to unstructured problems, conducting quantitative analyses and interpreting results
Proficient in Structured programming language is a must - Python is mandatory.
Strong SQL, Microsoft Excel, PowerPoint skills
Data science approaches, machine learning algorithms and statistical methods.
Excellent written and verbal communication skills
Show Less
Report","Size
501 to 1000 Employees
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,,$2 to $5 billion (USD)
2,"EY
3.9",Data Scientist Consultant,Bangalore,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity
The Data Scientist will be responsible for structuring the research question, determining the best analytical approach, conducting analyses, identifying business-relevant insights, and creating a compelling story to be communicated to key stakeholders and talent executive leadership. The person will have expertise in data science, with a strong focus on techniques related to text analytics, clustering, time series analysis, multivariate regression, basic predictive modelling, and significance testing.

Your key responsibilities
Essential Functions of the Job:
Utilize data science to conduct research on business topics relevant for digital insights team. Use quantitative and qualitative methods to identify new insights
on important issues for digital talent team and wider Talent & SL functional teams.
Identify creative approaches to answer research questions. Use your understanding of what is possible with data science to brainstorm creative
analytical solutions to test.
Rapidly test potential approaches. Stand-up simple analyses to demonstrate what’s possible and test feasibility.
Co-develop research plan. Work closely with other Digital team members and business stakeholders to help shape the research approach and potential output.
Collect and clean data. Identify relevant data sources (internal and external) and program or leverage existing tools to acquire the data (e.g. SQL, APIs, scrapers, etc.) and test quality.
Continuous improvement and creation of predictive modelling taking new levers and environmental factors into account.
Work on strategic and operational workforce planning modelling to enable shortterm and long-term planning looking at the impact of offshore, automation, and skills while optimising the cost model.
Generate innovative analytical ideas by staying up to date on latest tools and methodologies.
Provide subject matter expertise on key domain-related topics such as advanced excel, SQL, machine learning, natural language processing, text sentiment analysis, mathematics, statistics etc.
Enable the best-fit implementation approach leveraging the core and evolving skills in the domain of data analytics, e.g., machine learning, natural language processing, text sentiment analysis.
Champion the value of analytics and data-driven approach across Talent and provide thought leadership as required on the complete cycle of talent analytics.
Design data & insights model to cater to data visualization and be accountable for provision of advanced and predictive analytics to deliver robust analyses and support the delivery of insights to the Talent Executive teams.
Perform analyses. Independently conduct rigorous statistical analyses in Python or R. Most research projects will utilize quantitative modelling, statistics, or machine learning (especially text analytics).
Identify insights and communicate findings. Create a compelling story that articulates key insights to non-technical audiences through PowerPoint and/or Business Intelligence Platforms (e.g. PowerBI)
Due to global nature of the role; travel and willingness to work alternative hours will be required

Analytical/Decision Making Responsibilities:
Uses scientific methods and technologies to analyse data, develop models and deliver solutions to the business.
Data modeling and Management, integration and manipulation of large disparate datasets (i.e. structured, semi-structured or unstructured)
Translate complex analytical results into actionable recommendations.

Supervision Responsibilities:
Work closely with the Leads across the Digital and wider Talent Functions to ensure the provision of services that support business and functional delivery.
Develop digital capabilities, define key digital competencies for the team, and ensure provision of learning to advance skills
Independently maintain and leverage (when appropriate) an internal network, including effective partnerships with senior stakeholders, across EY practices / functions that will enable personal effectiveness in the position.

Skills and attributes for success
To qualify for the role you must have
Experience applying a broad range of data science techniques. Key areas include text analytics, clustering, time series analysis, multivariate regression, predictive modelling, and significance testing.
Demonstrable understanding of statistics and mathematical concepts relevant to data science.
Experience with data wrangling, cleansing, and data engineering for data science applications.
Experience in Advanced Data Visualization tools, such as Tableau, Spotfire, Qlikview and others for integration between disparate data sources, design and implementation of KPIs and generation of automatic and scalable visualizations that will facilitate extraction of business insights.
Ability to participate effectively in virtual teams and networks across diverse and dispersed geographies.

Ideally, you’ll also have
Strong teaming skills; collaborate effectively across talent ecosystem, within the digital team and the firm at-large.
Strong communication skills for sharing thought leadership across EY and externally to enhance EY reputation.
Strong organizational skills and attention to detail - the ability to operate within budget and effective time frames.
Strong research and analytical skills to track and interpret trending directions for data analytics and also to identify potential future options.
Ability to cope with ambiguity; to drive change and performance outcomes in a complex and agile environment.
Due to global nature of the role; English language skills - excellent written and verbal communication will be required

What we look for
Significant experience in a closely related Data analytics / data / insights driven role.
Experience of developing and implementing operational standards and processes to achieve required outcomes.
Experience of having worked on digital analytics design / process or analytical planning and development initiatives.
Experience of developing digital capability, defining key digital competencies for the team, and ensuring provision of learning to advance skills.
Demonstrable experience of collaborating with talent colleagues to understand needs / requirements and of shaping digital solutions.
Demonstrable experience of working with third party vendors / external system implementors to deliver reporting, insights and analytical solutions from design to enablement.
Experience of leading and participating in global dispersed teams to enhance services, processes, and standards.
Demonstrable experience of working in fast-paced, ambiguous, stressful environments to deliver required results.
Demonstrable experience of anticipating issues and challenges and proactively working to navigate challenges.
Experience of conducting internal and external research and analysis, providing best practices and insights to drive improvements.
Demonstrable experience of having worked to lead or provide SMR advice to ]achieve successful change outcomes.
Educated to degree level. Higher professional or master’s qualification is ]preferred, not required
Active membership in related professional bodies or industry groups is preferred, not required

What we offer
As part of this role, you'll work in a highly integrated, global team with the opportunity and tools to grow, develop and drive your career forward. Here, you can combine global opportunity with flexible working. The EY benefits package goes above and beyond too, focusing on your physical, emotional, financial and social well-being. Your recruiter can talk to you about the benefits available in your country. Here’s a snapshot of what we offer:
Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next.
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way.
Transformative leadership: We’ll give you the insights, coaching and confidence to be the leader the world needs.
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs.
DTCampaign

EY | Building a better working world


EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.


Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.


Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.
Show Less
Report","₹7,30,387 /yr (est.)",Unknown,Unknown,,,,Unknown / Non-Applicable
3,"ICICI Prudential Life
4.5",Data scientist,Mumbai,"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems
Show Less
Report","₹4,81,843 /yr (est.)",10000+ Employees,Private Practice / Firm,Insurance,Insurance Carriers,2001,$10+ billion (USD)
4,"ICICI Prudential Life
4.5",Data scientist - Lead,Mumbai,"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems
Show Less
Report","₹4,81,843 /yr (est.)",10000+ Employees,Private Practice / Firm,Insurance,Insurance Carriers,2001,$10+ billion (USD)
5,"Siemens
4.1",Data Engineer – Smart Building Analytics (6 - 9 years),Pune,"We spend up to 90 percent of our lives in buildings, and we believe that everything people do in life deserves a flawless place to do it. In a world where our fundamental health, safety and wellbeing expectations have been deeply impacted with the anxiety of a new virus, buildings should offer a haven. Ideally, a perfect place to learn. A flawless place to grow. A perfect place to prosper.
While it’s true that today’s buildings should be efficient, reliable and safe – these characteristics alone don’t enable businesses and empower people the way a true smart building can.

How do you craft the future Smart Buildings? We’re looking for the makers of tomorrow, the hardworking individuals ready to help Siemens transform entire industries, cities and even countries. Get to know us from the inside, develop your skills on the job. Join our Pune team to make difference!

What are my Job Responsibilities?

You should Implement and maintain our data pipelines ingesting data from various data sources and products (e.g., streaming IoT data)
You should take responsibility for the extension and maintenance of our data analytics platform, of which the data pipelines are a central part.
You should know the core of this job are data engineering and software engineering, however the job is located within a global data science environment
You should work closely with global, cross-functional teams like Architects, Data Scientists, DevOps and Product Managers to understand and implement the solution and data requirements
You should know to track the implementation, drive the integration across various departments, and monitor the usage of data analytics products
You must make sure the numerous APIs are well maintained, test and validate the environment with end-users
You should support the team head or other colleagues in upcoming daily tasks where necessary
You should have the working knowledge of any Content Management System based on single sourcing concept is preferable

What do I need to be Eligible for this Role?

You should have experience and willingness to explore big data pipeline and compute tooling such as Luigi, Airflow, Beam, Spark, Databricks. When it comes to methodologies, knowledge of agile software development processes would be highly valued
A University degree in Computer Science or a comparable education, we are flexible as long as a high quality of code is ensured
The scenario in our team needs an early starter, bringing along a few years of professional experience in software engineering with Python
As you will be working with these from day one, familiarity with AWS services beyond EC2 (e.g., Fargate, Batch, RDS, SageMaker) is something we expect from applicants
You have the right attitude, allowing you to navigate within a complex global organization and getting things done. We need a person with an absolute willingness to support the team, a proactive and stress-resistant personality
There are a lot of learning opportunities for our new team member. An openness to learn about data analytics (including AI) offerings is part of your motivation
Business fluency in English
Make your mark in our exciting world at Siemens.

This role is primarily based at Pune. However, you may get the opportunity to visit other locations within India as and when the work demands.
We’ve got quite a lot to offer. How about you?

We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and creativity and help us craft tomorrow.

Find out more about Siemens careers at: https://new.siemens.com/global/en/company/jobs.html

Organization: Advanta
Company: Siemens Technology and Services Private Limited
Experience Level: Experienced Professional
Full / Part time: Full-time
Show Less
Report","₹9,45,549 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Electronics Manufacturing,1847,$10+ billion (USD)
6,"Intelehealth
4.3",Architect (AI-ML & Data Science),Meghalaya,"Intelehealth | Full time
Architect (AI-ML & Data Science)
Remote Job | Posted on 04/30/2023
I'm interested
Job Information
Industry
Technology
Work Experience
Min. 8 years
Remote Job
Job Description
This is a remote position.


About the position:

We are looking for a Technical Lead (AI-ML & Data Science) with a mandate to build the AI-ML & Data Science team at Intelehealth. The responsibilities include building a AI-ML roadmap and leading a small team of data scientists in the journey to its execution

As a Tech Lead of AI-ML & Data Science, you will be responsible for integrating as well as designing and implementing advanced AI/ML algorithms and data science solutions that leverage healthcare data to drive insights and improve patient outcomes. You will be working with cross-functional teams of healthcare professionals, data scientists, engineers, and business stakeholders to define and deliver cutting-edge solutions that transform healthcare delivery.

The Tech Lead (AI-ML & Data Science) plays an important part in our company’s product development process. Our ideal candidate would be someone who breathes AI-ML and believes in applying it to revolutionize digital healthcare especially in the Telemedicine space
If you are a highly motivated and results-oriented individual with a passion for leveraging healthcare data to drive insights and improve patient outcomes, we would love to hear from you.


Essential Duties And Responsibilities:

Design, develop AI/ML algorithms as well integrate off the shelf models & solutions, that enable assisted disease screening / differential diagnosis for conditions such as anemia, cataract as well as risk prediction for maternal and neonatal mortality etc

Build/integrate AI-ML models for treatment of malnutrition, hypertension

Build predictive analytics models for Disease seasonality, enhanced MLE & clinical decision support

Build and maintain data science pipelines and architectures that support efficient and scalable data processing, data analysis, and data modeling of electronic health records (EHRs) and other healthcare data sources

Work closely with cross-functional teams to identify healthcare data and analytics requirements, and design and implement data-driven solutions that address clinical and business needs

Evaluate and implement advanced technologies and frameworks that enable efficient and effective development of AI/ML and data science solutions in the healthcare domain

Develop and maintain best practices and guidelines for data science, AI/ML development, and software engineering in the digital health domain

Identify opportunities for automation, optimization and streamlining of data science and AI/ML workflows, and develop tools to support these efforts

Ensure compliance with healthcare regulations and data privacy laws

Build Intelehealth’s Data Science & AI/ML team - by hiring the right talent & training/coaching

Support the CTO to develop clear AI/ML strategy, innovation plans and timelines for execution



Requirements
Qualifications:
Bachelors or Masters degree in Computer Science, Data Science, Mathematics, or Engineering


Skill Set:

Minimum of 7 years of experience in developing and deploying AI/ML models and data science solutions, with a focus on architecturing and designing end-to-end solutions in the digital health domain

Strong R or Python skills and experience using standard libraries such as NumPy, Scikit-learn, PyTorch, TensorFlow etc

Strong knowledge of data science, machine learning, and AI algorithms, tools and frameworks, including deep learning, computer vision, and statistical analysis. Experience with open source frameworks & auto ML highly preferred.

Experience in developing and deploying data science pipelines and architectures using modern tools and frameworks such as Spark, Hadoop, Kafka, and Kubernetes

Experience with healthcare data sources such as EHRs and medical images, and familiarity with healthcare standards and protocols such as HL7, FHIR, and DICOM is desirable

Experience with image processing algorithms highly preferred

Experience with cloud platforms such as AWS, Azure or GCP, and familiarity with containerization and orchestration technologies such as Docker and Kubernetes

Strong communication and collaboration skills, with the ability to work effectively with cross-functional teams and healthcare professionals

Strong analytical and problem-solving skills, with the ability to identify and solve complex technical problems in the healthcare domain


Attitudinal/Cultural Fit:

You are a passionate self-learner & love taking on new challenges

You love solving problems & digging for creative solutions if you don’t the answer to a problem

You don’t get flustered easily. You can remain level headed under pressure

You are meticulous & pay attention to details. Nothing falls off your radar. You believe in doing things perfectly, every single time you do them.
Show Less
Report","Size
51 to 200 Employees
Founded
2016
Type
Non-profit Organisation
Industry
Grantmaking & Charitable Foundations
Sector
Non-profit & NGO
Revenue
$1 to $5 million (USD)",51 to 200 Employees,Non-profit Organisation,Non-profit & NGO,Grantmaking & Charitable Foundations,2016,$1 to $5 million (USD)
7,Jobbycart Technologies,Artificial Intelligence / Machine Learning,Chennai,"Job Description:
· You will be working with the core RD team which drives the computer vision and image
processing development.
· Build a deep learning model for our data and object detection on large-scale images.
· Design and implement real-time algorithms for object detection, classification, tracking, and segmentation
· Coordinate and communicate within computer vision, software, and hardware teams to design and execute commercial engineering solutions.
· Automate the workflow process between the fast-paced data delivery systems.
Required Skills :
· Professional experience in computer vision and machine learning.
· Extensive use of Python.
· Experience in python libraries such as OpenCV, Tensor flow, and Numpy.
· Familiarity with a deep learning library such as Keras and PyTorch.
· Worked on different CNN architectures such as FCN, R-CNN, Fast R-CNN, and YOLO.
· Experienced on hyperparameter tuning, data augmentation, data wrangling, model optimization, and model deployment.
· Dock erization, AWS modules, and Production level modeling.
· Experience with Qt, Desktop application development, Desktop Automation
· Knowledge on Satellite image processing, Geo-Information systems, GDAL, Qgis, and ArcGIS
Job Type: Full-time
Salary: ₹18,000.00 - ₹25,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift
Supplemental pay types:
Yearly bonus
Ability to commute/relocate:
Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Speak with the employer
+91 8438965548
Show Less
Report",,Unknown,Company - Public,,,,Unknown / Non-Applicable
8,Metailearn,Data Science Trainer,Cochin,"Job Title: Data Science Trainer
Company: Metailearn
Location: Remote | Onsite
Job Type: Full-time | Part-time
About the Company:
Metailearn is a leading provider of online education and training in the field of data science. We offer a comprehensive range of courses and programs to help individuals and organizations develop the skills and knowledge they need to succeed in this rapidly growing field.
Job Description:
Metailearn is seeking a talented and experienced Data Science Trainer to join our team. The successful candidate will be responsible for developing and delivering high-quality training materials and courses to our students, including both live online sessions and recorded content.
Responsibilities:
Develop and deliver training materials and courses on data science topics, including machine learning, data analysis, statistical modeling, and data visualization.
Design and deliver engaging and interactive live online training sessions.
Create high-quality recorded content, including video tutorials, screencasts, and slide presentations.
Stay up-to-date with the latest trends and developments in data science, and incorporate this knowledge into training materials and courses.
Work collaboratively with other trainers, content creators, and support staff to ensure a seamless and effective learning experience for our students.
Continuously evaluate and improve training materials and courses to ensure they are effective and meet the needs of our students.
Provide support and guidance to students as needed, including answering questions and providing feedback on assignments and projects.
Qualifications:
Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or a related field.
At least 3 years of experience in data science or a related field.
Experience developing and delivering training materials and courses, either online or in-person.
Strong knowledge of data science concepts and techniques, including machine learning, data analysis, statistical modeling, and data visualization.
Experience with programming languages commonly used in data science, such as Python and R.
Excellent communication and presentation skills, both written and verbal.
Strong organizational skills and attention to detail.
Ability to work independently and as part of a team in a fast-paced and dynamic environment.
Job Types: Full-time, Part-time, Fresher, Contractual / Temporary, Freelance, Volunteer
Salary: ₹10,000.00 - ₹57,818.19 per month
Schedule:
Day shift
Flexible shift
Monday to Friday
Morning shift
Supplemental pay types:
Commission pay
Performance bonus
Ability to commute/relocate:
Kochi, Kerala: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work (Preferred)
Speak with the employer
+91 7907358458
Show Less
Report",,,,,,,
9,Itvedant Pvt Ltd.,Urgent vacancy for Data science faculty,Mumbai,"About Us: Itvedant was started with the aim of bridging the gap between education and skills needed for the job with an intense passion for teaching. We are looking for dynamic and passionate people from the software industry to be a part of our family who can lead the team of students towards a bright future.
Key Responsibilities:
Location :- Andheri
Contribute to all phases of the development life-cycle of the students and training a dynamic team of students.
Should possess strong knowledge of Data Science.
Faculty who is Excellent in any of the programming languages.
Faculty who is ready to upgrade is the idle candidate
Should stay up-to-date with the latest development in the field.
Facilitating the student's available resources such as curriculum, data, hardware, etc.
Upgrading the student’s knowledge quality by taking them through the important functionalities of Data Science as per the syllabus.
Sharply train the student’s minds in analyzing the Machine Learning Algorithms that could be used to solve the given problems.
Train and guide the students to analyze the errors and design strategies to overcome them.
Lead learning enhancement through developing assignment and assessment modules, integrate the use of advanced technology for upscale training quality, and develop plans to track and monitor the progress of students.
Should be capable of completing the assigned module in the given time.
Conduct regular research for further enhancement of curriculum on regular basis.
Should be able to communicate and connect with students in an effective way.
Job Type: Full-time
Salary: ₹15,000.00 - ₹30,000.00 per month
Schedule:
Day shift
Ability to commute/relocate:
Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work (Preferred)
Show Less
Report",,,,,,,
